Tanggal;Tn;Tx;Tavg;RH_avg;ss;ff_x;ff_avg
01/12/2021;23.9;32.8;28.3;76;8;4;1
02/12/2021;24.3;;;5.8;4;1
03/12/2021;23.2;;26.7;80;0.9;6;2
04/12/2021;23.6;32.5;27.3;82;3.3;9;3
05/12/2021;22.9;30.6;25.9;82;3.4;7;2
06/12/2021;21.4;31.8;26.4;83;0.2;4;2
07/12/2021;22.6;32.5;26.9;82;6.5;6;1
08/12/2021;23.2;32.7;27.9;78;3.8;6;1
09/12/2021;23.9;31.4;27;83;5.4;5;2
10/12/2021;23.5;25.6;24.2;95;3.2;4;1
11/12/2021;23.1;31.5;26.5;85;0;6;2
12/12/2021;23.7;30.4;26.1;89;1.8;3;1
13/12/2021;23.3;31.5;25.8;89;1.4;4;1
14/12/2021;23;32;26.5;89;2;5;1
15/12/2021;23.4;32.6;27.3;85;4.7;4;2
16/12/2021;23;33;26.3;86;4.3;6;2
17/12/2021;23;31.8;26.1;87;7.4;6;2
18/12/2021;23.2;30.6;25.9;89;0.5;4;1
19/12/2021;23.4;31.5;26.8;86;0.5;6;2
20/12/2021;23.9;31.5;26.9;85;3.2;5;1
21/12/2021;24.2;34.5;27.9;79;0.3;5;1
22/12/2021;24.3;31.5;27;86;7;4;2
23/12/2021;23.4;31.4;26.2;88;0.5;4;2
24/12/2021;23.7;33.4;27.4;80;2.9;5;2
25/12/2021;23.2;30.4;26.7;84;8.6;4;1
26/12/2021;23.5;30.8;26.3;90;5.4;4;1
27/12/2021;23.9;31;26.5;84;2.3;4;1
28/12/2021;23.3;31.4;26.5;88;2.3;5;1
29/12/2021;23;33.4;27.5;81;4;4;1
30/12/2021;24.1;32.4;26.8;86;6.1;6;2
31/12/2021;23.6;30.4;26;92;2.3;5;2
01/01/2022;23.5;30.7;25.3;93;2.1;5;1
02/01/2022;23.4;26.4;24.6;96;1.5;5;1
03/01/2022;23;30.8;25.7;90;0;4;1
04/01/2022;23.6;31;26.6;88;2.5;6;2
05/01/2022;23.3;32.4;26.9;85;6.8;4;1
06/01/2022;23.8;33;27.3;85;5.9;5;2
07/01/2022;23.9;32.6;27.3;82;3.9;4;1
08/01/2022;24.5;33.7;27.7;86;5.1;5;2
09/01/2022;23.2;33;27;82;7.2;6;2
10/01/2022;23.2;32.2;26.5;87;6.2;7;2
11/01/2022;23.3;31.2;26.7;85;2.5;5;1
12/01/2022;22.4;31.4;26.2;81;4.6;4;1
13/01/2022;22.8;32.4;26;77;4;7;2
14/01/2022;23;32.3;26.6;74;6.8;5;2
15/01/2022;22;33.1;26.7;78;7.5;6;2
16/01/2022;22.6;32.6;27.8;75;6.3;5;1
17/01/2022;23.8;31.5;26.6;87;6.2;5;1
18/01/2022;21.6;29.5;24.6;92;4.3;4;1
19/01/2022;22.2;29.8;25;93;;6;1
20/01/2022;22.3;32;26.3;82;1.1;4;1
